site_id,project,location_type,stations,date_installation,latitude_installation,longitude_installation,altitude_installation,date_last_valid,latitude_last_valid,longitude_last_valid,altitude_last_valid
CEN,GC-Net,ice sheet,CEN2 CEN1 GITS,1995-06-07,77.1378,-61.0411,1872.01,2024-11-27,77.181945,-61.115896,1891.04
CP1,GC-Net,ice sheet,CP1 CrawfordPoint1,1995-05-23,69.881216,-46.977476,1959.76,2024-11-27,69.87117,-47.044636,1949.74
DY2,GC-Net,ice sheet,DY2 DYE-2,1996-05-24,66.479419,-46.277815,2114.92,2024-11-27,66.482588,-46.294851,2126.97
EGP,GC-Net,ice sheet,EGP EastGRIP,2014-05-17,75.583291,-35.992863,2663.5,2024-11-27,75.627797,-35.967755,2668.81
FRE,Glaciobasis,local glacier,FRE,2021-07-27,74.387914,-20.832836,685.25,2024-11-27,74.388078,-20.833255,685.2
HUM,GC-Net,ice sheet,HUM Humboldt,1995-06-22,78.525542,-56.830847,1973.73,2024-11-27,78.529093,-56.845438,1968.59
JAR,GC-Net,ice sheet,JAR_O JAR JAR1,1996-06-19,69.498586,-49.682,932.21,2024-11-27,69.49412,-49.673789,929.62
KAN_B,PROMICE,tundra,KAN_B,2011-04-13,67.13,-50.18,350.0,2024-11-27,67.13,-50.18,350.0
KAN_L,PROMICE,ice sheet,KAN_Lv3 KAN_L,2008-09-01,67.097322,-49.931817,678.73,2024-11-27,67.104792,-49.933382,687.01
KAN_M,PROMICE,ice sheet,KAN_M,2008-09-02,67.065724,-48.816434,1271.5,2024-11-27,67.068369,-48.854746,1264.81
KAN_T,PROMICE,ice sheet,KAN_Tv3,2024-05-18,67.150852,-50.035069,503.77,2024-11-27,67.150903,-50.035149,501.11
KAN_U,PROMICE,ice sheet,KAN_U,2009-04-04,67.000159,-47.016845,1845.17,2024-11-27,67.000794,-47.035923,1848.1
KPC_L,PROMICE,ice sheet,KPC_Lv3 KPC_L,2008-07-17,79.911001,-24.085618,377.0,2023-01-08,79.913875,-24.093307,372.98
KPC_U,PROMICE,ice sheet,KPC_Uv3 KPC_U,2008-07-17,79.833905,-25.170461,867.13,2023-01-20,79.834921,-25.162375,865.43
LYN_L,GalcioBasis,local glacier,LYN_L,2021-09-01,69.318918,-53.543892,536.92,2024-11-27,69.318941,-53.543626,540.26
LYN_T,GalcioBasis,local glacier,LYN_T,2021-09-01,69.304271,-53.590203,940.13,2024-04-19,69.304269,-53.590195,943.75
MIT,PROMICE,local glacier,MIT,2009-05-04,65.692565,-37.825559,465.42,2024-11-27,65.6919,-37.830138,426.95
NAE,GC-Net,ice sheet,NAE NASA-E,1997-05-03,74.999995,-30.000935,2622.7,2024-11-27,75.00265,-29.978561,2627.86
NAU,GC-Net,ice sheet,NAU NASA-U,1995-05-31,73.842035,-49.492071,2337.92,2024-11-27,73.840536,-49.536,2336.84
NEM,GC-Net,ice sheet,NEM NEEM,2006-03-29,77.4413,-51.0999,2460.0,2024-11-27,77.441442,-51.084278,2456.52
NSE,GC-Net,ice sheet,NSE NASA-SE,1998-04-24,66.479796,-42.500533,2372.07,2024-11-27,66.477448,-42.492709,2386.61
NUK_B,PROMICE,tundra,NUK_B,2023-10-03,64.461441,-50.152747,109.78,2024-11-27,64.461432,-50.152731,109.24
NUK_K,PROMICE,local glacier,NUK_K,2014-07-28,64.162258,-51.358665,713.58,2024-11-27,64.162292,-51.35867,700.21
NUK_L,PROMICE,ice sheet,NUK_L,2007-08-20,64.481722,-49.521597,585.05,2024-11-27,64.484432,-49.555881,485.17
NUK_N,PROMICE,ice sheet,NUK_N,2010-07-25,64.945811,-49.883669,927.92,2014-07-25,64.945235,-49.884955,919.01
NUK_U,PROMICE,ice sheet,NUK_Uv3 NUK_U,2007-08-20,64.498747,-49.258602,1148.08,2024-11-27,64.508759,-49.287852,1114.83
QAS_A,PROMICE,ice sheet,QAS_A,2012-08-20,61.245371,-46.733793,1019.34,2015-08-24,61.243078,-46.732765,1003.79
QAS_L,PROMICE,ice sheet,QAS_Lv3 QAS_L,2007-08-24,61.024203,-46.872458,280.79,2024-11-27,61.030614,-46.849577,235.99
QAS_M,PROMICE,ice sheet,QAS_Mv3 QAS_M,2016-08-11,61.099871,-46.833062,625.72,2024-11-27,61.109651,-46.808423,674.26
QAS_U,PROMICE,ice sheet,QAS_Uv3 QAS_U,2008-08-07,61.178935,-46.816204,908.53,2024-11-27,61.171791,-46.82299,883.61
RED_L,LATTICE,ice sheet,RED_Lv3,2024-08-11,76.925665,-66.964928,772.19,2024-11-27,76.925655,-66.964857,767.83
SCO_L,PROMICE,ice sheet,SCO_Lv3 SCO_L,2008-07-22,72.229163,-26.816532,473.81,2024-11-27,72.216231,-26.816376,438.84
SCO_U,PROMICE,ice sheet,SCO_Uv3 SCO_U,2008-07-21,72.394385,-27.264289,993.87,2024-11-27,72.391748,-27.209246,972.76
SDL,GC-Net,ice sheet,SDL Saddle,1997-04-20,65.9999,-44.5026,2451.0,2024-11-27,66.000206,-44.502781,2475.09
SDM,GC-Net,ice sheet,SDM SouthDome,1997-04-23,63.1489,-44.8175,2878.0,2024-11-27,63.148917,-44.817396,2897.53
SER_B,Mittivakkat,bedrock,SER_B,2024-07-14,65.679711,-37.91736,29.89,2024-11-27,65.679725,-37.917361,28.57
SWC,GC-Net,ice sheet,SWC_O SWC SwissCamp SwissCamp10m,1990-06-01,69.574212,-49.29431,1155.42,2024-11-27,69.593865,-49.284711,1158.14
TAS_A,PROMICE,ice sheet,TAS_Av3 TAS_A,2013-08-28,65.780905,-38.903296,896.73,2024-11-27,65.773637,-38.889394,876.71
TAS_L,PROMICE,ice sheet,TAS_L,2007-08-23,65.641698,-38.898061,273.94,2024-11-27,65.639054,-38.899233,229.91
TAS_U,PROMICE,ice sheet,TAS_U,2008-03-11,65.70129,-38.865911,575.4,2015-08-13,65.697866,-38.866812,567.92
THU_L,PROMICE,ice sheet,THU_L,2010-08-09,76.39984,-68.265312,577.15,2024-11-27,76.399859,-68.267668,562.2
THU_L2,PROMICE,ice sheet,THU_L2,2022-05-16,76.393024,-68.26501,573.43,2024-11-27,76.393034,-68.265302,573.18
THU_U,PROMICE,ice sheet,THU_U2v3 THU_U2 THU_U,2010-08-09,76.419623,-68.144869,764.61,2024-11-27,76.390122,-68.110787,745.2
TUN,GC-Net,ice sheet,TUN Tunu-N,1996-05-16,78.015985,-33.988913,2074.08,2024-11-27,78.019398,-33.960431,2079.71
UPE_L,PROMICE,ice sheet,UPE_L,2009-08-17,72.893219,-54.295084,229.31,2024-11-27,72.893372,-54.29591,199.72
UPE_U,PROMICE,ice sheet,UPE_U,2009-08-18,72.891274,-53.535554,977.88,2024-11-27,72.884866,-53.623476,910.84
WEG_B,Wegener,tundra,WEG_B,2022-06-29,71.141461,-51.222043,12.72,2024-10-20,71.141461,-51.222055,17.9
WEG_L,Wegener,ice sheet,WEG_L,2022-08-14,71.2052,-51.095617,935.68,2024-11-27,71.204804,-51.100854,933.84
ZAC_A,GlacioBasis,local glacier,ZAC_A,2023-04-22,74.647556,-21.652037,1483.2,2024-06-04,74.647514,-21.652026,1482.64
ZAC_L,GlacioBasis,local glacier,ZAC_Lv3,2022-04-20,74.624179,-21.374456,630.56,2024-11-27,74.624077,-21.374289,628.61
ZAC_U,GlacioBasis,local glacier,ZAC_Uv3,2022-04-21,74.643398,-21.462629,868.32,2024-07-28,74.643252,-21.461059,864.82
